state,sex,year_start,year_end,ppd_start,ppd_end,aari
Alabama,Male,1990,2019,0.407917913077745,0.346205878344167,0.00567231453261696
Alabama,Female,1990,2019,0.236241239910882,0.225621181275907,0.00158733027344238
Alaska,Male,1990,2019,0.349223696466021,0.263588233284515,0.00974805116601818
Alaska,Female,1990,2019,0.214018984738895,0.183450826594044,0.00532856270349402
Arizona,Male,1990,2019,0.337421855888662,0.275340457080995,0.00703586335830231
Arizona,Female,1990,2019,0.199249118928605,0.168524395123387,0.00579172057675326
Arkansas,Male,1990,2019,0.388348159064671,0.339627991792501,0.0046331613526156
Arkansas,Female,1990,2019,0.226675811428868,0.230269296031297,-0.000542219259524024
California,Male,1990,2019,0.336772936913157,0.222946657285302,0.0143249564630017
California,Female,1990,2019,0.204693392955001,0.135516550904603,0.0143229644691618
Colorado,Male,1990,2019,0.299538463557737,0.232123973334303,0.00883087580738939
Colorado,Female,1990,2019,0.185250184559302,0.145106221715235,0.00845767688049093
Connecticut,Male,1990,2019,0.309917772003261,0.230598595436452,0.0102462226985713
Connecticut,Female,1990,2019,0.189703268305955,0.136044939744421,0.011530655332727
Delaware,Male,1990,2019,0.358238150014393,0.277471743405802,0.00884853564576726
Delaware,Female,1990,2019,0.230610563833042,0.171572396364132,0.0102495881980496
District of Columbia,Male,1990,2019,0.569222292727471,0.342086370670989,0.0177139524892251
District of Columbia,Female,1990,2019,0.325268708256845,0.219722007857039,0.0136190956333528
Florida,Male,1990,2019,0.35294590875532,0.272622928229042,0.00894407815205955
Florida,Female,1990,2019,0.200515608373017,0.167356798355062,0.00625270986228488
Georgia,Male,1990,2019,0.407011504545634,0.292967061729861,0.0114017956236401
Georgia,Female,1990,2019,0.23842682576976,0.19281754302759,0.00734817958837608
Hawaii,Male,1990,2019,0.280017808155251,0.231178957555819,0.00663089051610677
Hawaii,Female,1990,2019,0.167285045153639,0.13023798709783,0.00866963331796677
Idaho,Male,1990,2019,0.297303263041012,0.225916302889501,0.00951352431660868
Idaho,Female,1990,2019,0.186617783768758,0.150029134122245,0.00755366487648312
Illinois,Male,1990,2019,0.365099377440426,0.259533904327146,0.0118378725050576
Illinois,Female,1990,2019,0.222575356926804,0.164123196359839,0.0105604891544739
Indiana,Male,1990,2019,0.352279605216478,0.301225624936194,0.00541341451119437
Indiana,Female,1990,2019,0.213936874735439,0.19945735728232,0.00241949219346993
Iowa,Male,1990,2019,0.302576822956689,0.252797200763497,0.00621744221030229
Iowa,Female,1990,2019,0.177650250999106,0.161067540837939,0.00338478272584064
Kansas,Male,1990,2019,0.317077635327785,0.271049229258272,0.00542314152740886
Kansas,Female,1990,2019,0.191722261540508,0.181008156716989,0.00198492167464903
Kentucky,Male,1990,2019,0.389361444031176,0.347575533640315,0.00392236447990468
Kentucky,Female,1990,2019,0.232257656460205,0.232677643425689,-6.22962463627808e-05
Louisiana,Male,1990,2019,0.420898488843901,0.344039068400974,0.00697720959981596
Louisiana,Female,1990,2019,0.254708237259988,0.224400186263217,0.00437809801724365
Maine,Male,1990,2019,0.33052491406423,0.261585272610792,0.00809888613717336
Maine,Female,1990,2019,0.199272022175136,0.155858289177808,0.00850922855660841
Maryland,Male,1990,2019,0.365158120484144,0.267499681268741,0.0107892399985419
Maryland,Female,1990,2019,0.225515081502666,0.166663815491139,0.0104824333574407
Massachusetts,Male,1990,2019,0.325273930996695,0.221689740317173,0.0133080799118865
Massachusetts,Female,1990,2019,0.195308023371005,0.132992045064847,0.0133395191821799
Michigan,Male,1990,2019,0.354489169821008,0.277154608310675,0.00852239652127329
Michigan,Female,1990,2019,0.224376351601779,0.184101471679026,0.00684531246561781
Minnesota,Male,1990,2019,0.287827001679441,0.211013598642726,0.0107622257738063
Minnesota,Female,1990,2019,0.173286885886854,0.137490127735016,0.00801110491549717
Mississippi,Male,1990,2019,0.426531713811216,0.379753976647563,0.00401365769425444
Mississippi,Female,1990,2019,0.249156260433785,0.245272686979958,0.000541858886562219
Missouri,Male,1990,2019,0.360679438903081,0.310338819112108,0.00519707603443775
Missouri,Female,1990,2019,0.21427470564342,0.199419200070803,0.00248064831320294
Montana,Male,1990,2019,0.312749872900066,0.259118018804551,0.00650798598951297
Montana,Female,1990,2019,0.19950040199982,0.167547256915082,0.00603714395426147
Nebraska,Male,1990,2019,0.313355117551997,0.240079310356491,0.00922740829371582
Nebraska,Female,1990,2019,0.188544683413271,0.15829874757523,0.00604755690501779
Nevada,Male,1990,2019,0.371201845643036,0.280697633244758,0.00968340858813632
Nevada,Female,1990,2019,0.231642743463134,0.18119023076621,0.00850662600323471
New Hampshire,Male,1990,2019,0.314115222714088,0.230798718344649,0.0106847436175317
New Hampshire,Female,1990,2019,0.194885508768625,0.139456347364726,0.0116068643516667
New Jersey,Male,1990,2019,0.345365568604639,0.228628933576808,0.0143258929839687
New Jersey,Female,1990,2019,0.21597176020512,0.141533259384041,0.0146795611544013
New Mexico,Male,1990,2019,0.331614870131168,0.311405566393344,0.00217056369137847
New Mexico,Female,1990,2019,0.201504868785961,0.193873564455726,0.00133217368776939
New York,Male,1990,2019,0.374386483732658,0.2214481091519,0.0182718326418621
New York,Female,1990,2019,0.222046521661598,0.13746615272938,0.0166722560886039
North Carolina,Male,1990,2019,0.386666545962887,0.291556687670709,0.00978299983600839
North Carolina,Female,1990,2019,0.221929965064558,0.185545482923585,0.00619364719541093
North Dakota,Male,1990,2019,0.299647076429416,0.249160935094849,0.00638257051453506
North Dakota,Female,1990,2019,0.171235041219711,0.15741830748526,0.00290526321455831
Ohio,Male,1990,2019,0.352305277150227,0.30177764846184,0.00535246600344341
Ohio,Female,1990,2019,0.221470614438588,0.200301842798182,0.00347029972196622
Oklahoma,Male,1990,2019,0.363003359559576,0.336025176450146,0.00266651443334731
Oklahoma,Female,1990,2019,0.224399931759671,0.228547757129119,-0.000631363423502451
Oregon,Male,1990,2019,0.322101404905209,0.242706645380912,0.00980684134111787
Oregon,Female,1990,2019,0.196909127293674,0.154975439135084,0.00829197202651466
Pennsylvania,Male,1990,2019,0.352344824602134,0.26636634249903,0.00969280221922952
Pennsylvania,Female,1990,2019,0.213844683639197,0.169528114362102,0.00804012179826263
Rhode Island,Male,1990,2019,0.331052525076745,0.235885525567556,0.0117558187719797
Rhode Island,Female,1990,2019,0.195888169903675,0.142689508018154,0.0109865669162423
South Carolina,Male,1990,2019,0.411060437864313,0.325149418345895,0.00811743916013796
South Carolina,Female,1990,2019,0.24233017364001,0.20413775835249,0.00593152562847332
South Dakota,Male,1990,2019,0.318334829766167,0.253751283428912,0.0078495844160833
South Dakota,Female,1990,2019,0.180558045445165,0.166686066854264,0.00276035808106112
Tennessee,Male,1990,2019,0.393296341327659,0.34125882053482,0.00490586291210682
Tennessee,Female,1990,2019,0.225271268146317,0.223657989048206,0.000247867326635287
Texas,Male,1990,2019,0.366075185665981,0.267462058282575,0.0108815720669095
Texas,Female,1990,2019,0.213868046099993,0.170765155382256,0.00779122817909927
Utah,Male,1990,2019,0.270800741764169,0.215234677628673,0.00795055372636644
Utah,Female,1990,2019,0.174875452247829,0.14660803351489,0.00609822347590638
Vermont,Male,1990,2019,0.324650596585003,0.232878474649224,0.0115221770653384
Vermont,Female,1990,2019,0.187152250928834,0.145544818083868,0.00870798528876238
Virginia,Male,1990,2019,0.359811675370965,0.253295883952381,0.0121777754483488
Virginia,Female,1990,2019,0.216868239247175,0.165551315160039,0.00935412610170583
Washington,Male,1990,2019,0.306448360748762,0.227816007071429,0.0102769642737366
Washington,Female,1990,2019,0.193125528331141,0.148420351616224,0.00912037120587317
West Virginia,Male,1990,2019,0.391328919807107,0.366595133202339,0.00225392848165185
West Virginia,Female,1990,2019,0.23450941802045,0.246649639041519,-0.0017389385333938
Wisconsin,Male,1990,2019,0.310403067182846,0.238907899524893,0.00906823331731754
Wisconsin,Female,1990,2019,0.186224022142611,0.156063160147992,0.00611134234575594
Wyoming,Male,1990,2019,0.32164727450557,0.265814297994658,0.00659605836210053
Wyoming,Female,1990,2019,0.202612026155234,0.181418923302015,0.00381706301105966
Alabama,Male,2000,2010,0.373724135719389,0.347643720456502,0.00726020407622685
Alabama,Female,2000,2010,0.238363892425699,0.227090500500537,0.0048567406290978
Alaska,Male,2000,2010,0.290858804811083,0.264141948967349,0.00968169714989764
Alaska,Female,2000,2010,0.199383558994869,0.1780982116773,0.0113534924449905
Arizona,Male,2000,2010,0.299649729944648,0.259463051362297,0.0145041710565874
Arizona,Female,2000,2010,0.186630146398892,0.161599749139219,0.0145048122984333
Arkansas,Male,2000,2010,0.355877596053079,0.339094310358435,0.00484254441020005
Arkansas,Female,2000,2010,0.227537907749797,0.220596565219936,0.00310293571519082
California,Male,2000,2010,0.268629544453074,0.226143737056067,0.0173653007847165
California,Female,2000,2010,0.178987970029099,0.145216084728796,0.0211297091960676
Colorado,Male,2000,2010,0.251883602649,0.224632624424626,0.0115158829877906
Colorado,Female,2000,2010,0.176670079668038,0.148455638467947,0.0175520434505114
Connecticut,Male,2000,2010,0.267281230590978,0.218895122761613,0.0201716198065751
Connecticut,Female,2000,2010,0.174423938749303,0.139522523824077,0.0225773680218222
Delaware,Male,2000,2010,0.307909923056728,0.276188003332708,0.0109318686691333
Delaware,Female,2000,2010,0.204146057296446,0.178240739374486,0.0136625511481916
District of Columbia,Male,2000,2010,0.451527185677058,0.327973165267307,0.0324869216733008
District of Columbia,Female,2000,2010,0.277090529989671,0.222499326869688,0.0221845164493171
Florida,Male,2000,2010,0.308557946873287,0.272381900532046,0.0125485335662241
Florida,Female,2000,2010,0.188961361211679,0.167331657798526,0.0122306640846916
Georgia,Male,2000,2010,0.34901813269601,0.296153454552141,0.0165602384171399
Georgia,Female,2000,2010,0.227222439310864,0.196123819797647,0.0148271732250471
Hawaii,Male,2000,2010,0.256050215492303,0.235945991854783,0.00821058838208577
Hawaii,Female,2000,2010,0.159225443520899,0.134987155974581,0.016651257091153
Idaho,Male,2000,2010,0.263693347266032,0.238105667311411,0.0102595023972487
Idaho,Female,2000,2010,0.181924029836096,0.160833564647192,0.012398138626494
Illinois,Male,2000,2010,0.312689623306412,0.259316635420831,0.0188923678715967
Illinois,Female,2000,2010,0.206301261234038,0.169329919838228,0.0199451520372669
Indiana,Male,2000,2010,0.323698666287487,0.292662243878679,0.0101303528863952
Indiana,Female,2000,2010,0.217378081334724,0.195012965802558,0.0109163634039002
Iowa,Male,2000,2010,0.267070168836147,0.245185817549585,0.00858615805294227
Iowa,Female,2000,2010,0.175454646751227,0.161209182057206,0.00850373278961336
