state,sex,reference,method,cause_group,contribution,ppd_gap,contribution_pct,rnk
Alabama,Female,local_best3,horiuchi,Other,0.0333761887258021,0.0923405587366097,36.1446683694037,1
Alabama,Female,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.0175864520218333,0.0923405587366097,19.0452085870484,2
Alabama,Female,local_best3,horiuchi,Atherosclerotic CVDs,0.0137332763330472,0.0923405587366097,14.8724206577737,3
Alabama,Female,local_best3,horiuchi,Mental and substance use disorders,0.00512742758928897,0.0923405587366097,5.55273615347546,4
Alabama,Female,local_best3,horiuchi,Diabetes,0.00469370026051486,0.0923405587366097,5.08303212015759,5
Alabama,Female,local_best3,stepwise,Other,0.0333789825168953,0.0923405587366097,36.1476938991725,1
Alabama,Female,local_best3,stepwise,NCDs strongly linked to tobacco use,0.0175839156280186,0.0923405587366097,19.0424618050824,2
Alabama,Female,local_best3,stepwise,Atherosclerotic CVDs,0.0137304927790885,0.0923405587366097,14.8694062142867,3
Alabama,Female,local_best3,stepwise,Mental and substance use disorders,0.00512871386733665,0.0923405587366097,5.55412912538865,4
Alabama,Female,local_best3,stepwise,Diabetes,0.00469305297259937,0.0923405587366097,5.08233114116813,5
Alabama,Female,western_europe,horiuchi,Other,0.0301333525328406,0.117717357584733,25.5980538054046,1
Alabama,Female,western_europe,horiuchi,Atherosclerotic CVDs,0.0181276048694269,0.117717357584733,15.3992624718735,2
Alabama,Female,western_europe,horiuchi,Mental and substance use disorders,0.0176759868170959,0.117717357584733,15.01561637108,3
Alabama,Female,western_europe,horiuchi,NCDs strongly linked to tobacco use,0.0173418526393845,0.117717357584733,14.7317719282832,4
Alabama,Female,western_europe,horiuchi,Diabetes,0.00815315400827554,0.117717357584733,6.9260423233735,5
Alabama,Female,western_europe,stepwise,Other,0.0301372332527855,0.117717357584733,25.6013504474841,1
Alabama,Female,western_europe,stepwise,Atherosclerotic CVDs,0.0181214884107976,0.117717357584733,15.394066586785,2
Alabama,Female,western_europe,stepwise,Mental and substance use disorders,0.0176782301694052,0.117717357584733,15.0175220818055,3
Alabama,Female,western_europe,stepwise,NCDs strongly linked to tobacco use,0.0173395824837526,0.117717357584733,14.729843448339,4
Alabama,Female,western_europe,stepwise,Diabetes,0.00815122579937572,0.117717357584733,6.92440432457758,5
Alabama,Male,local_best3,horiuchi,Other,0.0378293564626426,0.129123349516456,29.2970687364499,1
Alabama,Male,local_best3,horiuchi,NCDs strongly linked to tobacco use,0.0253085008083739,0.129123349516456,19.6002511576331,2
Alabama,Male,local_best3,horiuchi,Atherosclerotic CVDs,0.0249799904834064,0.129123349516456,19.3458352629109,3
Alabama,Male,local_best3,horiuchi,Road injury,0.00859649068542934,0.129123349516456,6.65758030412132,4
Alabama,Male,local_best3,horiuchi,Violence,0.00773285838956139,0.129123349516456,5.9887374502904,5
Alabama,Male,local_best3,stepwise,Other,0.0378351478719942,0.129123349516456,29.3015539123481,1
Alabama,Male,local_best3,stepwise,NCDs strongly linked to tobacco use,0.0253018678196165,0.129123349516456,19.5951142178138,2
Alabama,Male,local_best3,stepwise,Atherosclerotic CVDs,0.0249662800752218,0.129123349516456,19.3352171924876,3
Alabama,Male,local_best3,stepwise,Road injury,0.0086018069778907,0.129123349516456,6.66169752419134,4
Alabama,Male,local_best3,stepwise,Violence,0.00773959726290013,0.129123349516456,5.9939563927698,5
Alabama,Male,western_europe,horiuchi,Other,0.0293489113766066,0.158172498548784,18.5550027001405,1
Alabama,Male,western_europe,horiuchi,Atherosclerotic CVDs,0.0291296179838335,0.158172498548784,18.4163607776919,2
Alabama,Male,western_europe,horiuchi,Mental and substance use disorders,0.0266888923118305,0.158172498548784,16.8732823700064,3
Alabama,Male,western_europe,horiuchi,NCDs strongly linked to tobacco use,0.0171627753974539,0.158172498548784,10.8506697149761,4
Alabama,Male,western_europe,horiuchi,Road injury,0.0125551089611983,0.158172498548784,7.93760551068618,5
