state,sex,1990,2000,2010,2019,2023
Alabama,Female,23.6241239910882,23.8363892425699,22.7090500500537,22.5621181275907,24.1474665721287
Alabama,Male,40.7917913077745,37.3724135719389,34.7643720456502,34.6205878344167,37.0628518310752
Alaska,Female,21.4018984738895,19.9383558994869,17.80982116773,18.3450826594044,21.3074006336753
Alaska,Male,34.9223696466021,29.0858804811083,26.4141948967349,26.3588233284515,32.0817991676777
Arizona,Female,19.9249118928605,18.6630146398892,16.1599749139219,16.8524395123387,17.9039676875941
Arizona,Male,33.7421855888662,29.9649729944648,25.9463051362297,27.5340457080995,29.5224532879157
Arkansas,Female,22.6675811428868,22.7537907749797,22.0596565219936,23.0269296031297,24.5535667768581
Arkansas,Male,38.8348159064671,35.5877596053079,33.9094310358435,33.9627991792501,36.2043948522874
California,Female,20.4693392955001,17.8987970029099,14.5216084728796,13.5516550904603,13.9352773498527
California,Male,33.6772936913157,26.8629544453074,22.6143737056067,22.2946657285301,23.8690725572559
Colorado,Female,18.5250184559302,17.6670079668038,14.8455638467947,14.5106221715235,15.1494194740881
Colorado,Male,29.9538463557737,25.1883602649,22.4632624424626,23.2123973334303,24.8805095468146
Connecticut,Female,18.9703268305955,17.4423938749303,13.9522523824077,13.6044939744421,13.7347287126487
Connecticut,Male,30.9917772003261,26.7281230590978,21.8895122761613,23.0598595436452,23.1232532209409
Delaware,Female,23.0610563833042,20.4146057296446,17.8240739374486,17.1572396364132,18.28392460902
Delaware,Male,35.8238150014393,30.7909923056728,27.6188003332708,27.7471743405802,29.4925129598663
District of Columbia,Female,32.5268708256845,27.7090529989671,22.2499326869688,21.9722007857039,21.5532760989445
District of Columbia,Male,56.9222292727471,45.1527185677058,32.7973165267307,34.2086370670989,33.5961667773268
Florida,Female,20.0515608373017,18.8961361211679,16.7331657798526,16.7356798355062,17.0953981642965
Florida,Male,35.294590875532,30.8557946873287,27.2381900532046,27.2622928229042,27.681968421999
Georgia,Female,23.842682576976,22.7222439310864,19.6123819797648,19.281754302759,20.0923779309202
Georgia,Male,40.7011504545634,34.901813269601,29.6153454552141,29.2967061729861,30.6267008875945
Hawaii,Female,16.7285045153639,15.9225443520899,13.4987155974581,13.023798709783,14.1997697875705
Hawaii,Male,28.0017808155251,25.6050215492303,23.5945991854783,23.1178957555819,25.6446912200783
Idaho,Female,18.6617783768758,18.1924029836096,16.0833564647192,15.0029134122245,15.9974377045635
Idaho,Male,29.7303263041012,26.3693347266032,23.8105667311411,22.5916302889501,24.210777143143
Illinois,Female,22.2575356926804,20.6301261234038,16.9329919838228,16.4123196359839,16.4409317940464
Illinois,Male,36.5099377440426,31.2689623306412,25.9316635420831,25.9533904327146,26.9570356468104
Indiana,Female,21.3936874735439,21.7378081334724,19.5012965802558,19.945735728232,20.5906030659394
Indiana,Male,35.2279605216478,32.3698666287487,29.2662243878679,30.1225624936194,31.2106355411251
Iowa,Female,17.7650250999107,17.5454646751227,16.1209182057206,16.1067540837939,17.0697586947522
Iowa,Male,30.2576822956689,26.7070168836147,24.5185817549585,25.2797200763497,26.0936897962998
Kansas,Female,19.1722261540508,19.4862807492035,17.6596546465513,18.1008156716989,19.0104037553236
Kansas,Male,31.7077635327785,28.9396934946536,26.9761479347468,27.1049229258272,28.2714073117881
Kentucky,Female,23.2257656460205,23.0039644277879,22.5588773857555,23.2677643425689,24.8746069408967
Kentucky,Male,38.9361444031176,35.4352114988341,33.0555349489954,34.7575533640315,36.4150614108802
Louisiana,Female,25.4708237259988,24.9161485965671,22.2595798247543,22.4400186263217,23.2209762089652
Louisiana,Male,42.0898488843901,37.9108835592929,34.0327062830249,34.4039068400974,37.1325210776308
Maine,Female,19.9272022175136,18.7230029616832,15.892464550713,15.5858289177808,18.0009790031884
Maine,Male,33.052491406423,28.3182313089002,24.8618951126514,26.1585272610792,28.383878347565
Maryland,Female,22.5515081502666,20.7994314134963,16.8744587136713,16.6663815491139,16.5310612544032
Maryland,Male,36.5158120484144,31.5569001338352,25.8002665889474,26.7499681268742,26.8649332186699
Massachusetts,Female,19.5308023371005,17.6953655022937,14.1665624744325,13.2992045064847,13.4617481067965
Massachusetts,Male,32.5273930996695,27.1503540942859,22.4128953368345,22.1689740317173,21.9725556314458
Michigan,Female,22.4376351601779,21.2004194585952,18.6588861760238,18.4101471679026,18.6272806929124
Michigan,Male,35.4489169821008,31.3840568082072,27.8583487247589,27.7154608310675,28.4757802593684
Minnesota,Female,17.3286885886854,16.1823177063071,13.9060237820922,13.7490127735016,14.5161503281336
Minnesota,Male,28.7827001679441,24.7721054330695,21.2853871091098,21.1013598642726,22.3096262642284
Mississippi,Female,24.9156260433785,25.6440526142992,24.0152388613028,24.5272686979958,26.1780891556031
Mississippi,Male,42.6531713811216,39.8624443375693,36.1382727233104,37.9753976647563,39.0719348035948
Missouri,Female,21.427470564342,21.620978428673,19.579785045339,19.9419200070803,20.6107925688865
Missouri,Male,36.0679438903081,32.345309804293,29.5070032852566,31.0338819112108,32.2786516052096
Montana,Female,19.950040199982,18.7389948901035,17.2734953047287,16.7547256915082,18.2110847637796
Montana,Male,31.2749872900066,28.4784773508799,25.6981626532686,25.9118018804551,26.4628233043354
Nebraska,Female,18.8544683413271,17.9927181916804,15.9582900011287,15.829874757523,16.5339397697381
Nebraska,Male,31.3355117551997,27.1218887704109,24.2040696145883,24.0079310356491,25.0964778149545
Nevada,Female,23.1642743463134,21.3336246432768,18.5665984095981,18.119023076621,18.3605786423849
Nevada,Male,37.1201845643036,32.8231568587074,28.3582049357516,28.0697633244758,29.9111390708512
New Hampshire,Female,19.4885508768625,17.1792747216709,14.3411447355412,13.9456347364726,15.2346886944815
New Hampshire,Male,31.4115222714088,26.4595317487193,21.9754054024789,23.0798718344649,24.3298969977445
New Jersey,Female,21.597176020512,19.0429582413235,15.1770010957107,14.1533259384041,13.5693042508962
New Jersey,Male,34.5365568604639,28.9842213808086,23.3962927012633,22.8628933576808,21.8710624646207
New Mexico,Female,20.1504868785961,18.3479404945171,17.6030633232363,19.3873564455726,21.2224052736832
New Mexico,Male,33.1614870131168,30.1422396187302,28.3480666000432,31.1405566393344,36.0748370033672
New York,Female,22.2046521661598,18.8012738323675,15.1545963245439,13.746615272938,13.9850377454542
New York,Male,37.4386483732658,28.7934680619525,23.5633006705526,22.14481091519,23.0046741378726
North Carolina,Female,22.1929965064558,21.4634498870445,18.4699424397345,18.5545482923585,20.2540851963993
North Carolina,Male,38.6666545962887,33.7937389853998,28.6584592221283,29.1556687670709,31.6235351460362
North Dakota,Female,17.1235041219711,17.1516633648468,15.335943418731,15.741830748526,17.1861461567448
North Dakota,Male,29.9647076429416,27.2369645506348,24.4877156515291,24.9160935094849,26.5532559662506
Ohio,Female,22.1470614438588,21.2478298927436,19.3475314412278,20.0301842798182,20.1613805452331
Ohio,Male,35.2305277150227,31.6585562581838,28.8725562637838,30.177764846184,31.0461184230179
Oklahoma,Female,22.4399931759671,23.2589490926631,23.1955135557442,22.8547757129119,24.432823710938
Oklahoma,Male,36.3003359559576,34.4457520985516,33.7366671789513,33.6025176450146,35.6175193095022
Oregon,Female,19.6909127293674,18.9966145030434,16.2623586662606,15.4975439135084,17.0897121805887
Oregon,Male,32.2101404905209,27.5151125252634,24.5880895819753,24.2706645380912,27.9396695163327
Pennsylvania,Female,21.3844683639197,20.1315541046215,17.395901788514,16.9528114362102,17.4052457981033
Pennsylvania,Male,35.2344824602134,30.8781309265158,27.1854898139066,26.636634249903,27.2611575908322
Rhode Island,Female,19.5888169903675,18.7001260067405,15.5051822772004,14.2689508018154,15.1585572877546
Rhode Island,Male,33.1052525076745,27.7280625929465,24.4799666801308,23.5885525567556,24.0101661120945
South Carolina,Female,24.233017364001,23.0144053755995,20.0873705588081,20.413775835249,21.3352996480497
South Carolina,Male,41.1060437864313,36.9336321510756,31.9081822108347,32.5149418345895,34.1329483354953
South Dakota,Female,18.0558045445165,18.0583439020957,16.4224307638372,16.6686066854264,18.748519907512
South Dakota,Male,31.8334829766167,28.7098905850133,24.845581771784,25.3751283428912,25.6363691863319
Tennessee,Female,22.5271268146317,23.0736694048661,21.3735092596031,22.3657989048206,23.6686280468473
Tennessee,Male,39.3296341327659,35.8923953089981,32.5308540298871,34.125882053482,36.0973105038766
Texas,Female,21.3868046099993,20.1663943754414,17.6485474811754,17.0765155382256,17.8320198759344
Texas,Male,36.6075185665981,30.9511737661579,26.9889017132414,26.7462058282575,27.780658562632
Utah,Female,17.4875452247829,16.8771491101323,14.9094062588382,14.660803351489,14.6917054739723
Utah,Male,27.0800741764169,24.8321412899655,22.4631772301803,21.5234677628673,22.3574729708544
Vermont,Female,18.7152250928834,17.7633530228857,14.2693942620597,14.5544818083868,15.6146025761993
Vermont,Male,32.4650596585003,26.3479113368205,22.5222663557468,23.2878474649224,26.1068540810076
Virginia,Female,21.6868239247175,20.0197090635229,16.5381855563003,16.5551315160039,17.4730580732716
Virginia,Male,35.9811675370965,29.8939864017152,25.0940556947368,25.3295883952381,26.6897425567473
Washington,Female,19.3125528331141,18.0480454303684,15.248772381705,14.8420351616224,16.107220476445
Washington,Male,30.6448360748762,26.6826513987546,22.9439786451539,22.7816007071429,25.8231191778827
West Virginia,Female,23.450941802045,23.1647142800219,23.0642441817562,24.664963904152,27.1429468053639
West Virginia,Male,39.1328919807107,35.2742574066634,34.3745599636722,36.6595133202339,38.7555505623687
Wisconsin,Female,18.6224022142611,18.0761716598569,15.5517573464405,15.6063160147992,16.2692777753704
Wisconsin,Male,31.0403067182846,27.5983386149408,23.5960483607511,23.8907899524893,25.1208726926483
Wyoming,Female,20.2612026155234,19.9770597942085,17.9522926620459,18.1418923302015,19.2211624168779
Wyoming,Male,32.164727450557,28.9291666781227,26.2514245006904,26.5814297994658,27.9948137005386
